diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType
C1704272	Benign Prostatic Hyperplasia	disease	C12	Disease or Syndrome
C1739363	Prostatic Hypertrophy	disease	C12	Disease or Syndrome
C2937421	Prostatic Hyperplasia	disease	C12	Disease or Syndrome
C0002897	Anemia, Splenic	disease	C15	Disease or Syndrome
C0004364	Autoimmune Diseases	group	C20	Disease or Syndrome
C0020532	Hypersplenism	disease	C15	Disease or Syndrome
C0024299	Lymphoma	group	C04;C20;C15	Neoplastic Process
C0024305	Lymphoma, Non-Hodgkin	disease	C04;C20;C15	Neoplastic Process
C0024535	Malaria, Falciparum	disease	C01	Disease or Syndrome
C0026896	Myasthenia Gravis	disease	C04;C20;C10	Disease or Syndrome
C0032963	Pregnancy Complications, Cardiovascular	disease	C13;C14	Disease or Syndrome
C0039338	Taste Disorders	group	C23;C10	Disease or Syndrome
C0042170	Uveomeningoencephalitic Syndrome	disease	C11;C20;C10	Disease or Syndrome
C0079773	Lymphoma, T-Cell, Cutaneous	disease	C04;C20;C15	Neoplastic Process
C0234297	Taste Disorder, Primary	phenotype	C23;C10	Disease or Syndrome
C0234298	Taste Disorder, Primary, Sweet	phenotype	C23;C10	Disease or Syndrome
C0234299	Taste Disorder, Primary, Salt	phenotype	C23;C10	Disease or Syndrome
C0234300	Taste Disorder, Primary, Bitter	phenotype	C23;C10	Disease or Syndrome
C0234302	Taste Disorder, Anterior Tongue	phenotype	C23;C10	Disease or Syndrome
C0234303	Taste Disorder, Secondary	phenotype	C23;C10	Disease or Syndrome
C0234304	Taste Disorder, Secondary, Sweet	phenotype	C23;C10	Disease or Syndrome
C0234305	Taste Disorder, Secondary, Salt	phenotype	C23;C10	Disease or Syndrome
C0234306	Taste Disorder, Secondary, Bitter	phenotype	C23;C10	Disease or Syndrome
C0234319	Taste Disorder, Posterior Tongue	phenotype	C23;C10	Disease or Syndrome
C0240327	Taste, Metallic	phenotype	C23;C10	Sign or Symptom
C0376407	Granulomatous Slack Skin	disease	C04;C20;C15	Neoplastic Process
C0751339	Myasthenia Gravis, Generalized	disease	C04;C20;C10	Disease or Syndrome
C0751340	Myasthenia Gravis, Ocular	disease	C04;C20;C10	Disease or Syndrome
C1328840	Autoimmune Lymphoproliferative Syndrome	disease	C16;C20;C15	Disease or Syndrome
C1846545	Autoimmune Lymphoproliferative Syndrome Type 2B	disease	C16;C20;C15	Disease or Syndrome
C2717884	Autoimmune Lymphoproliferative Syndrome Type 1, Autosomal Dominant	disease	C16;C20;C15	Disease or Syndrome
C3496549	Male Germ Cell Tumor	disease	C04;C12;C19	Neoplastic Process
C0020474	Hyperlipidemia, Familial Combined	disease	C16;C18	Disease or Syndrome
C0039584	Testicular Diseases	group	C12;C19	Disease or Syndrome
C0008340	Choledochal Cyst	disease	C16;C06;C04	Congenital Abnormality
C0009439	Choledochal Cyst, Type I	disease	C16;C06;C04	Congenital Abnormality
C0013608	Edema, Cardiac	disease	C23;C14	Pathologic Function
C0020550	Hyperthyroidism	disease	C19	Disease or Syndrome
C0036981	Endotoxic shock	phenotype	C23;C01	Pathologic Function
C0036983	Septic Shock	phenotype	C23;C01	Pathologic Function
C0085548	Autosomal Recessive Polycystic Kidney Disease	disease	C16;C13;C12	Disease or Syndrome
C0600327	Toxic Shock Syndrome	disease	C23;C01	Disease or Syndrome
C1257796	Choledochal Cyst, Type II	disease	C16;C06;C04	Congenital Abnormality
C1257797	Choledochal Cyst, Type III	disease	C16;C06;C04	Congenital Abnormality
C1257798	Choledochal Cyst, Type IV	disease	C16;C06;C04	Congenital Abnormality
C1257799	Choledochal Cyst, Type V	disease	C16;C06;C04	Congenital Abnormality
C3714618	Primary Hyperthyroidism	disease	C19	Disease or Syndrome
C0162283	Nephrogenic Diabetes Insipidus	disease	C13;C12	Disease or Syndrome
C0268443	Acquired Nephrogenic Diabetes Insipidus	disease	C13;C12	Disease or Syndrome
C0677501	Congenital Nephrogenic Diabetes Insipidus	disease	C13;C12	Disease or Syndrome
C1563705	Nephrogenic Diabetes Insipidus, Type I	disease	C13;C12	Disease or Syndrome
C1563706	Nephrogenic Diabetes Insipidus, Type II	disease	C13;C12	Disease or Syndrome
C3542500	ADH-Resistant Diabetes Insipidus	disease	C13;C12	Disease or Syndrome
C0040411	Tongue Neoplasms	group	C04;C07	Neoplastic Process
C0153349	Malignant neoplasm of tongue	disease	C04;C07	Neoplastic Process
C0027873	Neuromyelitis Optica	disease	C11;C20;C10	Disease or Syndrome
C0338715	Drug-induced depressive state	disease	C25;F03	Mental or Behavioral Dysfunction
C1833030	PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC	disease	C16;C17	Disease or Syndrome
C1838359	Diffuse palmoplantar keratoderma, Bothnian type	disease	C16;C17	Disease or Syndrome
C4551675	Keratoderma, Palmoplantar	disease	C16;C17	Disease or Syndrome
C0274861	Arsenic Poisoning, Inorganic	disease	C10;C25	Injury or Poisoning
C0274862	Nervous System, Organic Arsenic Poisoning	disease	C10;C25	Injury or Poisoning
C0311375	Arsenic Poisoning	disease	C10;C25	Injury or Poisoning
C0751851	Arsenic Encephalopathy	disease	C10;C25	Disease or Syndrome
C0751852	Arsenic Induced Polyneuropathy	disease	C10;C25	Injury or Poisoning
C0017412	Genital Diseases, Male	group	C12	Disease or Syndrome
C0021361	Female infertility	phenotype	C13	Pathologic Function
C0038279	Sterility, Postpartum	phenotype	C13	Pathologic Function
C0039585	Androgen-Insensitivity Syndrome	disease	C16;C13;C12;C19	Disease or Syndrome
C0085207	Gestational Diabetes	phenotype	C18;C13;C19	Disease or Syndrome
C0236663	Alcohol withdrawal syndrome	disease	C25;F03	Disease or Syndrome
C0238033	Carcinoma of Male Breast	disease	C04;C17	Neoplastic Process
C0242788	Breast Neoplasms, Male	group	C04;C17	Neoplastic Process
C0268301	Reifenstein Syndrome	disease	C16;C13;C12;C19	Disease or Syndrome
C0282612	Prostatic Intraepithelial Neoplasias	disease	C04	Neoplastic Process
C0341869	Subfertility, Female	disease	C13	Disease or Syndrome
C0393547	Bulbospinal Neuronopathy	disease	C10	Disease or Syndrome
C0556385	Craving for alcohol	phenotype		Finding
C0752353	Atrophy, Muscular, Spinobulbar	disease	C16;C10	Disease or Syndrome
C0917730	Female sterility	phenotype	C13	Finding
C0936016	Testicular Feminization	disease	C16;C13;C12;C19	Disease or Syndrome
C1839259	Bulbo-Spinal Atrophy, X-Linked	disease	C16;C10	Disease or Syndrome
C2678098	Hypospadias 1, X-Linked	disease	C16;C13;C12	Disease or Syndrome
C2713546	Androgen Receptor Deficiency	disease	C16;C13;C12;C19	Disease or Syndrome
C2931395	Bulbospinal neuronopathy, X-linked recessive	disease	C16;C10	Disease or Syndrome
C3658266	Prostatic Cancer, Castration-Resistant	disease	C04;C12	Neoplastic Process
C3658267	Prostatic Neoplasms, Castration-Resistant	disease	C04;C12	Neoplastic Process
C0033847	Pseudoxanthoma Elasticum	disease	C16;C17;C15;C14	Disease or Syndrome
C0264955	Idiopathic arterial calcification of infancy	disease	C18;C14	Disease or Syndrome
C0376359	Gronblad-Strandberg Syndrome	disease	C16;C17;C15;C14	Disease or Syndrome
C1859727	Arterial calcification of infancy	disease	C18	Disease or Syndrome
C1867450	Pseudoxanthoma Elasticum, Incomplete	disease	C16;C17;C15;C14	Disease or Syndrome
C3276161	ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2	disease		Disease or Syndrome
C4310686	SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY	disease		Disease or Syndrome
C0018671	Head and Neck Neoplasms	group	C04	Neoplastic Process
C0018675	Head Neoplasms	group	C04	Neoplastic Process
C0027533	Neck Neoplasms	group	C04	Neoplastic Process
C0162568	Erythropoietic Protoporphyria	disease	C16;C06;C18;C17	Disease or Syndrome
C0278996	Malignant Head and Neck Neoplasm	disease	C04	Neoplastic Process
C0349426	Ferrochelatase deficiency	disease	C16;C06;C18;C17	Disease or Syndrome
C0746787	Cancer of Neck	disease	C04	Neoplastic Process
C0751177	Cancer of Head	disease	C04	Neoplastic Process
C0887900	Upper Aerodigestive Tract Neoplasms	group	C04	Neoplastic Process
C1868720	Periventricular Nodular Heterotopia	disease	C16;C10	Disease or Syndrome
C4748602	PERIVENTRICULAR NODULAR HETEROTOPIA 8	disease		Disease or Syndrome
C0003949	Asbestosis	disease	C08;C24	Disease or Syndrome
C0018500	Hair Diseases	group	C17	Disease or Syndrome
C0021053	Immune System Diseases	group	C20	Disease or Syndrome
C0023281	Leishmaniasis	disease	C01;C17	Disease or Syndrome
C0268548	Hyperargininemia	phenotype	C16;C18;C10	Disease or Syndrome
C2930617	Pulmonary Fibrosis - from Asbestos Exposure	disease	C08;C24	Disease or Syndrome
C0035304	Retinal Degeneration	phenotype	C11	Pathologic Function
C0000771	Abnormalities, Drug-Induced	group	C16	Congenital Abnormality
C0013575	Ectodermal Dysplasia	disease	C16;C17	Disease or Syndrome
C0020981	Angioimmunoblastic Lymphadenopathy	disease	C20;C15	Neoplastic Process
C0040435	Tooth Diseases	group	C07	Disease or Syndrome
C0079774	Peripheral T-Cell Lymphoma	disease	C04;C20;C15	Neoplastic Process
C0162361	Hidrotic Ectodermal Dysplasia	disease	C16;C17	Disease or Syndrome
C0162835	Hypopigmentation disorder	disease	C17	Disease or Syndrome
C0235833	Congenital diaphragmatic hernia	disease	C23;C16	Congenital Abnormality
C0236736	Cocaine-Related Disorders	group	C25;F03	Mental or Behavioral Dysfunction
C0238198	Gastrointestinal Stromal Tumors	group	C06;C04	Neoplastic Process
C0265316	Neurocutaneous Syndromes	disease	C16;C17;C10	Disease or Syndrome
C0265699	Congenital hernia of foramen of Morgagni	disease	C23;C16	Congenital Abnormality
C0265700	Congenital hernia of foramen of Bochdalek	disease	C23;C16	Congenital Abnormality
C0282160	Aplasia Cutis Congenita	disease	C16;C17	Congenital Abnormality
C1706004	Anhydrotic Ectodermal Dysplasias	disease	C16;C17	Congenital Abnormality
C1744559	Congenital ectodermal dysplasia of face	disease	C16;C17	Disease or Syndrome
C1858991	Childhood Ataxia with Central Nervous System Hypomyelinization	disease	C10	Disease or Syndrome
C2931456	Prostate cancer, familial	disease	C04;C12	Neoplastic Process
C4722327	PROSTATE CANCER, HEREDITARY, 1	disease	C04;C12	Neoplastic Process
C3808874	ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2	disease		Disease or Syndrome
C3808953	NEPHROTIC SYNDROME, TYPE 8	disease		Disease or Syndrome
C0014522	Epidermodysplasia Verruciformis	disease	C01;C17	Neoplastic Process
C0494261	Combined immunodeficiency	disease	C16;C18;C20	Disease or Syndrome
C4749042	EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 4	phenotype		Finding
C1865915	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 2	disease	C23;C16;C11;C10	Disease or Syndrome
C0431399	Familial aplasia of the vermis	disease	C16;C13;C11;C12	Disease or Syndrome
C3553264	JOUBERT SYNDROME 17	disease		Disease or Syndrome
C4551568	Joubert syndrome 1	disease	C16;C13;C11;C12	Disease or Syndrome
C4748442	JOUBERT SYNDROME 35	disease		Disease or Syndrome
C4748536	RETINITIS PIGMENTOSA 83	disease		Disease or Syndrome
C0000772	Multiple congenital anomalies	group	C16	Congenital Abnormality
C0085159	Seasonal Affective Disorder	disease	F03	Mental or Behavioral Dysfunction
C4538795	MYOPIA 26, X-LINKED, FEMALE-LIMITED	disease		Disease or Syndrome
C3178803	Social Anhedonia	disease	C23;C10;F01	Mental or Behavioral Dysfunction
C0023522	Leukodystrophy, Metachromatic	disease	C16;C18;C10	Disease or Syndrome
C0751276	Metachromatic leukodystrophy, juvenile type	disease	C16;C18;C10	Disease or Syndrome
C0751278	Metachromatic Leukodystrophy, Infant	disease	C16;C18;C10	Disease or Syndrome
C0751279	Metachromatic Leukodystrophy, Adult-Type (disorder)	disease	C16;C18;C10	Disease or Syndrome
C2713319	Arylsulfatase A Deficiency	disease	C16;C18;C10	Disease or Syndrome
C0026709	Mucopolysaccharidosis VI	disease	C16;C18;C17	Disease or Syndrome
C0019187	Hepatitis, Alcoholic	disease	C06;C25	Disease or Syndrome
C0041671	Attention Deficit Disorder	disease	F03	Mental or Behavioral Dysfunction
C0079588	Ichthyosis, X-Linked	disease	C16;C18;C17	Disease or Syndrome
C0524610	Chronic Alcoholic Hepatitis	disease	C06;C25	Disease or Syndrome
C1263846	Attention deficit hyperactivity disorder	disease	F03	Mental or Behavioral Dysfunction
C1321905	Minimal Brain Dysfunction	disease	F03	Mental or Behavioral Dysfunction
C2717836	Steroid Sulfatase Deficiency Disease	disease	C16;C18;C17	Disease or Syndrome
C2720163	Placental Steroid Sulfatase Deficiency	disease	C16;C18;C17	Disease or Syndrome
C4274085	Syndromic recessive X-linked ichthyosis	disease	C16;C18;C17	Disease or Syndrome
C0008445	Chondrodysplasia Punctata	disease	C05	Congenital Abnormality
C1844853	Brachytelephalangic Chondrodysplasia Punctata	disease		Disease or Syndrome
C3669395	X-Linked Chondrodysplasia Punctata 1	disease	C16;C05	Disease or Syndrome
C0012236	DiGeorge Syndrome	disease	C16;C05;C19;C15;C14	Disease or Syndrome
C0220704	Shprintzen syndrome	disease	C16;C05;C19;C15;C14	Disease or Syndrome
C0431406	Asymmetric crying face association	disease	C23;C10;C07	Disease or Syndrome
C0795907	CONOTRUNCAL ANOMALY FACE SYNDROME	disease	C16;C05;C19;C15;C14	Disease or Syndrome
C0809983	Schizophrenia and related disorders	group	F03	Disease or Syndrome
C2936346	22q11 Deletion Syndrome	disease	C16;C05;C19;C15;C14	Disease or Syndrome
C3266101	22q11 partial monosomy syndrome	disease		Disease or Syndrome
C3888239	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1	disease		Finding
C0004238	Atrial Fibrillation	disease	C23;C14	Disease or Syndrome
C0020305	Hydrops Fetalis	disease	C23;C16;C13;C20;C15	Disease or Syndrome
C0221765	Chronic schizophrenia	disease	F03	Mental or Behavioral Dysfunction
C0235480	Paroxysmal atrial fibrillation	disease	C23;C14	Disease or Syndrome
C0268255	Farber Lipogranulomatosis	disease	C16;C18;C10	Disease or Syndrome
C0455988	Hydrops Fetalis, Non-Immune	disease	C23;C16;C13;C20;C15	Disease or Syndrome
C1834569	Jankovic Rivera syndrome	disease	C23;C16;C05;C10	Disease or Syndrome
C2585653	Persistent atrial fibrillation	phenotype	C23;C14	Pathologic Function
C3468561	familial atrial fibrillation	phenotype	C23;C14	Pathologic Function
C1275808	Congenital central hypoventilation	disease	C23;C08;C10	Disease or Syndrome
C1859049	CCHS WITH HIRSCHSPRUNG DISEASE	disease	C23;C08;C10	Disease or Syndrome; Congenital Abnormality
C1368275	Pigmented Basal Cell Carcinoma	disease	C04	Neoplastic Process
C4721806	Carcinoma, Basal Cell	disease	C04	Neoplastic Process
C0268547	Argininosuccinic Aciduria	disease	C16;C18;C10	Disease or Syndrome
C3809971	ASPARAGINE SYNTHETASE DEFICIENCY	disease		Disease or Syndrome
C0206307	Canavan Disease	disease	C16;C18;C10	Disease or Syndrome
C0751663	Canavan Disease, Familial Form	disease	C16;C18;C10	Disease or Syndrome
C0751664	Canavan Disease, Neonatal	disease	C16;C18;C10	Disease or Syndrome
C0751665	Canavan Disease, Sporadic Form	disease	C16;C18;C10	Disease or Syndrome
C0751666	Canavan Disease, Infantile	disease	C16;C18;C10	Disease or Syndrome
C0751667	Canavan Disease, Juvenile	disease	C16;C18;C10	Disease or Syndrome
C3542499	Aminoacylase 2 Deficiency	disease	C16;C18;C10	Disease or Syndrome
C1832167	Ectopia Lentis, Spontaneous Filtering Blebs, and Craniofacial Dysmorphism	disease	C16;C11;C05	Disease or Syndrome
C0175683	Citrullinemia	disease	C16;C18;C10	Disease or Syndrome
C0751750	Argininosuccinic Acid Synthetase Deficiency Disease, Partial	disease	C16;C18;C10	Disease or Syndrome
C0751751	Argininosuccinic Acid Synthetase Deficiency, Complete	disease	C16;C18;C10	Disease or Syndrome
C4721769	Citrullinemia Type 1	disease	C16;C18;C10	Disease or Syndrome
C2748861	Cortical malformations	phenotype		Finding
C0012739	Disseminated Intravascular Coagulation	disease	C15	Disease or Syndrome
C0042487	Venous Thrombosis	phenotype	C14	Pathologic Function
C0079102	Cerebral Thrombosis	disease	C10;C14	Disease or Syndrome
C0149871	Deep Vein Thrombosis	disease	C14	Disease or Syndrome
C0272375	Antithrombin III Deficiency	disease	C16;C15	Disease or Syndrome
C0752143	Intracranial Thrombosis	disease	C10;C14	Disease or Syndrome
C0752144	Brain Thrombosis	disease	C10;C14	Disease or Syndrome
C0936261	Brain Thrombus	disease	C10;C14	Disease or Syndrome
C0936263	Cerebral Thrombus	disease	C10;C14	Disease or Syndrome
C1861172	Venous Thromboembolism	phenotype	C14	Disease or Syndrome
C2937358	Cerebral Hemorrhage	phenotype	C23;C10;C14	Pathologic Function
C3658294	Hereditary Antithrombin Deficiency	disease	C16;C15	Disease or Syndrome
C4551856	Asphyxiating Thoracic Dystrophy 1	disease	C16;C17;C05	Disease or Syndrome; Congenital Abnormality
C0206651	Clear Cell Sarcoma of Soft Tissue	disease	C04	Neoplastic Process
C0021400	Influenza	disease	C01;C08	Disease or Syndrome
C0848558	Hypospadias	disease	C16;C13;C12	Congenital Abnormality
C0021367	Mammary Ductal Carcinoma	disease	C04;C17	Neoplastic Process
C1134719	Invasive Ductal Breast Carcinoma	disease	C04;C17	Neoplastic Process
C0155003	Blindness, Transient	phenotype	C23;C11;C10	Pathologic Function
C0221473	Blindness, Hysterical	phenotype	C23;C11;C10	Mental or Behavioral Dysfunction
C0271215	Blindness, Legal	disease	C23;C11;C10	Disease or Syndrome
C0339730	Blindness, Acquired	disease	C23;C11;C10	Disease or Syndrome
C0376288	Amaurosis	disease	C23;C11;C10	Disease or Syndrome
C0456909	Blindness	phenotype	C23;C11;C10	Disease or Syndrome
C0750958	Blindness, Monocular	disease	C23;C11;C10	Disease or Syndrome
C1837530	AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency	disease	C23;C16;C10;F03;F01	Disease or Syndrome
C1879328	Blindness both eyes NOS (disorder)	phenotype	C23;C11;C10	Disease or Syndrome
C0004135	Ataxia Telangiectasia	disease	C16;C18;C20;C10;C14	Disease or Syndrome
C0021051	Immunologic Deficiency Syndromes	group	C20	Disease or Syndrome
C0154017	Benign neoplasm of bladder	disease	C04;C13;C12	Neoplastic Process
C0154091	Carcinoma in situ of bladder	disease	C04;C13;C12	Neoplastic Process
C0346153	Breast Cancer, Familial	disease	C04;C17	Neoplastic Process
C0496930	Neoplasm of uncertain or unknown behavior of bladder	disease	C04;C13;C12	Neoplastic Process
C0555202	Malignant lymphoma - lymphocytic, intermediate differentiation	disease		Neoplastic Process
C0699885	Carcinoma of bladder	disease	C04;C13;C12	Neoplastic Process
C0855095	Small Lymphocytic Lymphoma	disease	C04;C20;C15	Neoplastic Process
C1112155	Hereditary non-polyposis colorectal cancer syndrome	disease		Congenital Abnormality
C1333991	Hereditary Non-Polyposis Colon Cancer Type 2	disease	C16;C04	Neoplastic Process
C1843542	T-CELL PROLYMPHOCYTIC LEUKEMIA, SOMATIC	disease		Disease or Syndrome
C1868683	B-CELL MALIGNANCY, LOW-GRADE	disease		Neoplastic Process
C1876175	Ataxia-Telangiectasia Variant	disease	C16;C18;C20;C10;C14	Disease or Syndrome
C2363142	T-Cell Prolymphocytic Leukemia	disease	C04;C20;C15	Neoplastic Process
C2936783	Colorectal cancer, hereditary nonpolyposis, type 1	disease	C16;C06;C04;C18	Neoplastic Process
C1842870	Chromosome 1p36 Deletion Syndrome	disease	C23;C16	Disease or Syndrome
C4310772	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART	disease		Disease or Syndrome
C1879677	Alcohol Toxicity	disease		Injury or Poisoning
C0017162	Gastroenteritis, Transmissible, of Swine	disease	C01;C22	Disease or Syndrome
C0020428	Hyperaldosteronism	disease	C19	Disease or Syndrome
C0042594	Vestibular Diseases	group	C09	Disease or Syndrome
C0151723	Hypomagnesemia	phenotype	C18	Disease or Syndrome
C0206667	Adrenal Cortical Adenoma	disease	C04;C19	Neoplastic Process
C1384514	Conn Syndrome	disease	C19	Disease or Syndrome
C4552839	Hypomagnesemia, CTCAE	phenotype		Finding
C4747974	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD	disease		Disease or Syndrome
C0003886	Arthrogryposis	disease	C16;C05	Disease or Syndrome
C0009421	Comatose	phenotype	C23;C10	Disease or Syndrome
C0025958	Microcephaly	disease	C16;C05;C10	Congenital Abnormality
C0149931	Migraine Disorders	group	C10	Disease or Syndrome
C0220669	Familial benign neonatal epilepsy	disease	C16;C10	Disease or Syndrome
C0238358	Hypokalemic periodic paralysis	disease	C16;C18;C05;C10	Disease or Syndrome
C0270816	epilepsy and migraine	disease		Disease or Syndrome
C0338488	Alternating hemiplegia of childhood	disease	C23;C10	Disease or Syndrome
C1865322	MIGRAINE, FAMILIAL HEMIPLEGIC, 2	disease	C10	Disease or Syndrome
C2733158	Cerebral Small Vessel Diseases	group	C10;C14	Disease or Syndrome
C3549447	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1	disease		Disease or Syndrome
C1832466	CAPOS syndrome	disease	C23;C16;C11;C05;C10;C09	Disease or Syndrome
C1868681	DYSTONIA 12	disease	C10	Disease or Syndrome
C3553788	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2	disease		Disease or Syndrome
C0003165	Anthracosis	disease	C08	Disease or Syndrome
C0024473	Magnesium Deficiency	disease	C18	Disease or Syndrome
C0268448	Primary hypomagnesemia (disorder)	disease	C23;C16;C18;C13;C12	Disease or Syndrome
C1835171	Hypomagnesemia 2, renal	disease	C16;C18;C13;C12	Disease or Syndrome
C1832918	Brody myopathy	disease	C16;C05;C10	Disease or Syndrome
C0022595	Keratosis Follicularis	disease	C16;C17	Disease or Syndrome
C0206145	Stunned Myocardium	disease	C23;C14	Disease or Syndrome
C0206146	Myocardial Stunning	disease	C23;C14	Disease or Syndrome
C0264716	Chronic heart failure	disease	C14	Disease or Syndrome
C0265971	Acrokeratosis Verruciformis of Hopf	disease	C16;C17	Disease or Syndrome; Congenital Abnormality
C0376416	Hibernation, Myocardial	disease	C23;C14	Disease or Syndrome
C0473575	Acantholytic Dyskeratotic Epidermal Nevus	disease	C16;C17	Neoplastic Process
C1832394	Deafness, Autosomal Recessive 12	disease	C23;C10;C09	Disease or Syndrome
C0796205	SPINOCEREBELLAR ATAXIA, X-LINKED 1	disease	C16;C10	Disease or Syndrome
C4707849	X-linked non progressive cerebellar ataxia	disease	C23;C16;C10	Disease or Syndrome
C3808899	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 4	disease		Disease or Syndrome
C4015062	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 22	disease		Disease or Syndrome
C4757950	Isolated ATP synthase deficiency	disease		Disease or Syndrome
C1849508	EPILEPSY, PYRIDOXINE-DEPENDENT	disease	C10	Disease or Syndrome
C1846707	SPINOCEREBELLAR ATAXIA 17	disease	C16;C10	Disease or Syndrome
C4748269	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 5	disease		Disease or Syndrome
C3279708	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 3	disease		Disease or Syndrome
C0268355	Cutis Laxa, Autosomal Recessive, Type IIA	disease	C16;C17	Disease or Syndrome
C4479387	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC	disease		Disease or Syndrome
C4479409	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID	disease		Disease or Syndrome
C4693934	EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 3	disease		Disease or Syndrome
C0403554	Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness	disease	C23;C16;C18;C13;C12;C10;C09	Disease or Syndrome
C1704380	Distal Renal Tubular Acidosis	disease	C16;C18;C13;C12	Disease or Syndrome
C1864498	RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL RECESSIVE	disease	C16;C18;C13;C12	Disease or Syndrome
C4302514	Distal renal tubular acidosis co-occurrent with sensorineural deafness	phenotype	C23;C16;C18;C13;C12;C10;C09	Disease or Syndrome
C0024301	Lymphoma, Follicular	disease	C04;C20;C15	Neoplastic Process
C0079745	Lymphoma, Large-Cell, Follicular	disease	C04;C20;C15	Neoplastic Process
C0079758	Lymphoma, Mixed-Cell, Follicular	disease	C04;C20;C15	Neoplastic Process
C0079765	Lymphoma, Small Cleaved-Cell, Follicular	disease	C04;C20;C15	Neoplastic Process
C0796013	Zimmerman Laband syndrome	disease	C16;C05;C07	Disease or Syndrome
C1956130	Lymphoma, Follicular, Grade 1	disease	C04;C20;C15	Neoplastic Process
C1956131	Lymphoma, Follicular, Grade 3	disease	C04;C20;C15	Neoplastic Process
C1956132	Lymphoma, Follicular, Grade 2	disease	C04;C20;C15	Neoplastic Process
C2675730	Deafness, Congenital, and Onychodystrophy, Autosomal Dominant	disease	C23;C16;C10;C07;C09	Disease or Syndrome
C4225321	ZIMMERMANN-LABAND SYNDROME 2	disease		Disease or Syndrome
C4310819	IMMUNODEFICIENCY 47	disease		Disease or Syndrome
C0003496	Aortic Rupture	disease	C14;C26	Disease or Syndrome
C0010495	Cutis Laxa	disease	C16;C17	Disease or Syndrome
C0019054	Hemolysis (disorder)	phenotype	C23	Pathologic Function
C0022716	Menkes Kinky Hair Syndrome	disease	C16;C18;C17;C10	Disease or Syndrome
C0027854	Neurologic Manifestations	phenotype	C23;C10	Finding
C0235031	Neurologic Symptoms	group	C23;C10	Sign or Symptom
C0235574	Intravascular hemolysis	disease	C23	Disease or Syndrome
C0268353	Cutis laxa, x-linked	disease	C16;C17;C15;C14	Congenital Abnormality
C0312854	Extravascular Hemolysis	disease	C23	Pathologic Function
C0422837	Neurological observations	group	C23;C10	Finding
C0521654	Neurologic Deficits	group	C23;C10	Finding
C0741160	Aortic Aneurysm, Ruptured	disease	C14;C26	Disease or Syndrome
C0746857	Focal Neurologic Deficits	phenotype	C23;C10	Finding
C0751377	Neurologic Dysfunction	phenotype	C23;C10	Finding
C0751378	Neurologic Signs	phenotype	C23;C10	Sign or Symptom
C1845359	Spinal Muscular Atrophy, Distal, X-Linked 3	disease	C16;C10	Disease or Syndrome
C0022665	Kidney Neoplasm	disease	C04;C13;C12	Neoplastic Process
C0740457	Malignant neoplasm of kidney	disease	C04;C13;C12	Neoplastic Process
C0007103	Malignant neoplasm of endometrium	disease	C04;C13	Neoplastic Process
C0042076	Urologic Neoplasms	group	C04;C13;C12	Neoplastic Process
C0149782	Squamous cell carcinoma of lung	disease	C04;C08	Neoplastic Process
C0265202	Seckel syndrome	disease	C23;C16;C05;C10;C19	Disease or Syndrome
C0280313	Squamous cell carcinoma of oropharynx	disease	C04;C07;C09	Neoplastic Process
C0346191	Carcinoma in situ of endometrium	disease	C04;C13	Neoplastic Process
C0751571	Cancer of Urinary Tract	disease	C04;C13;C12	Neoplastic Process
C1292778	Chronic myeloproliferative disorder	disease	C04;C15	Neoplastic Process
C3165106	Infiltrating duct carcinoma of female breast	disease	C04;C17	Neoplastic Process
C3281203	CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL	disease		Neoplastic Process
C4551474	Seckel syndrome 1	disease	C23;C16;C05;C10;C19	Disease or Syndrome
C0010417	Cryptorchidism	disease	C16;C12;C19	Congenital Abnormality
C0030846	Penile Diseases	group	C12	Disease or Syndrome
